,Unnamed: 0,A,B
9229,9229,497,557
9230,9230,502,559
9231,9231,504,559
9232,9232,509,562
9233,9233,512,562
9234,9234,513,566
9235,9235,517,567
9236,9236,519,571
9237,9237,522,573
9238,9238,524,575
9239,9239,527,578
9240,9240,529,582
9241,9241,531,588
9242,9242,531,591
9243,9243,534,598
9244,9244,537,599
9245,9245,540,599
9246,9246,544,596
9247,9247,547,593
9248,9248,552,581
9249,9249,552,571
9250,9250,553,563
9251,9251,552,551
9252,9252,551,546
9253,9253,552,543
9254,9254,547,537
9255,9255,546,535
9256,9256,549,535
9257,9257,550,534
9258,9258,554,534
9259,9259,554,534
9260,9260,559,536
9261,9261,563,535
9262,9262,561,538
9263,9263,561,537
9264,9264,562,538
9265,9265,565,543
9266,9266,560,542
9267,9267,559,545
9268,9268,558,548
9269,9269,557,553
9270,9270,554,559
9271,9271,549,567
9272,9272,542,570
9273,9273,533,573
9274,9274,522,572
9275,9275,509,571
9276,9276,495,565
9277,9277,484,560
9278,9278,472,554
9279,9279,463,545
9280,9280,454,535
9281,9281,443,526
9282,9282,444,512
9283,9283,440,513
9284,9284,442,510
9285,9285,441,505
9286,9286,447,506
9287,9287,445,502
9288,9288,447,500
9289,9289,445,498
9290,9290,446,502
9291,9291,448,495
9292,9292,450,493
9293,9293,451,491
9294,9294,451,490
9295,9295,458,494
9296,9296,457,489
9297,9297,458,489
9298,9298,456,486
9299,9299,458,484
9300,9300,455,482
9301,9301,456,480
9302,9302,454,479
9303,9303,456,474
9304,9304,458,471
9305,9305,460,470
9306,9306,462,467
9307,9307,466,468
9308,9308,469,471
9309,9309,472,475
9310,9310,478,477
9311,9311,482,477
9312,9312,486,482
9313,9313,490,482
9314,9314,494,484
9315,9315,499,483
9316,9316,501,485
9317,9317,504,482
9318,9318,510,481
9319,9319,514,478
9320,9320,513,476
9321,9321,521,474
9322,9322,522,472
9323,9323,521,471
9324,9324,520,471
9325,9325,520,475
9326,9326,518,478
9327,9327,515,475
9328,9328,511,483
9329,9329,510,487
9330,9330,511,487
9331,9331,506,490
9332,9332,502,491
9333,9333,500,492
9334,9334,501,494
9335,9335,499,495
9336,9336,503,495
9337,9337,506,495
9338,9338,507,499
9339,9339,508,499
9340,9340,511,499
9341,9341,507,499
9342,9342,514,499
9343,9343,514,498
9344,9344,515,494
9345,9345,513,483
9346,9346,514,486
9347,9347,512,482
9348,9348,516,477
9349,9349,514,477
9350,9350,515,476
9351,9351,518,473
9352,9352,520,479
9353,9353,521,483
9354,9354,521,487
9355,9355,523,493
9356,9356,522,496
9357,9357,524,503
9358,9358,520,507
9359,9359,518,513
9360,9360,517,519
9361,9361,516,523
9362,9362,513,524
9363,9363,516,522
9364,9364,513,528
9365,9365,511,523
9366,9366,513,520
9367,9367,508,514
9368,9368,514,512
9369,9369,513,506
9370,9370,515,503
9371,9371,511,497
9372,9372,513,495
9373,9373,509,490
9374,9374,508,490
9375,9375,505,487
9376,9376,504,487
9377,9377,508,488
9378,9378,510,489
9379,9379,515,492
9380,9380,520,501
9381,9381,526,501
9382,9382,530,507
9383,9383,537,516
9384,9384,540,522
9385,9385,545,532
9386,9386,547,536
9387,9387,552,543
9388,9388,554,543
9389,9389,554,545
9390,9390,562,542
9391,9391,563,543
9392,9392,564,541
9393,9393,563,540
9394,9394,566,538
9395,9395,565,537
9396,9396,565,538
9397,9397,562,537
9398,9398,560,542
9399,9399,558,543
9400,9400,561,546
9401,9401,552,550
9402,9402,553,554
9403,9403,550,558
9404,9404,551,561
9405,9405,546,565
9406,9406,550,566
9407,9407,549,567
9408,9408,546,562
9409,9409,544,563
9410,9410,539,557
9411,9411,536,553
9412,9412,530,539
9413,9413,526,536
9414,9414,519,524
9415,9415,514,515
9416,9416,508,504
9417,9417,506,495
9418,9418,496,484
9419,9419,489,475
9420,9420,484,466
9421,9421,479,460
9422,9422,474,455
9423,9423,470,452
9424,9424,469,450
9425,9425,467,450
9426,9426,468,452
9427,9427,468,452
9428,9428,475,454
9429,9429,478,456
9430,9430,480,461
9431,9431,482,463
9432,9432,483,466
9433,9433,484,470
9434,9434,489,476
9435,9435,483,482
9436,9436,482,487
9437,9437,481,492
9438,9438,481,494
9439,9439,480,500
9440,9440,478,502
9441,9441,478,508
9442,9442,475,510
9443,9443,475,513
9444,9444,472,515
9445,9445,472,518
9446,9446,471,519
9447,9447,472,521
9448,9448,473,526
9449,9449,477,530
9450,9450,481,534
9451,9451,484,535
9452,9452,488,537
9453,9453,489,534
9454,9454,496,528
9455,9455,493,523
9456,9456,494,517
9457,9457,493,509
9458,9458,493,503
9459,9459,492,497
9460,9460,487,494
9461,9461,482,487
9462,9462,477,485
9463,9463,470,482
9464,9464,462,481
9465,9465,453,479
9466,9466,446,477
9467,9467,443,477
9468,9468,440,477
9469,9469,443,478
9470,9470,443,480
9471,9471,446,490
9472,9472,454,490
9473,9473,460,497
9474,9474,466,504
9475,9475,473,506
9476,9476,480,520
9477,9477,485,527
9478,9478,490,537
9479,9479,495,543
9480,9480,501,550
9481,9481,505,551
9482,9482,511,551
9483,9483,514,555
9484,9484,521,543
9485,9485,526,539
9486,9486,532,540
9487,9487,529,530
9488,9488,531,520
9489,9489,541,519
9490,9490,537,521
9491,9491,536,520
9492,9492,536,522
9493,9493,539,525
9494,9494,537,526
9495,9495,532,528
9496,9496,526,526
9497,9497,522,527
9498,9498,519,523
9499,9499,509,525
9500,9500,505,523
9501,9501,504,529
9502,9502,506,525
9503,9503,508,526
9504,9504,510,525
9505,9505,516,526
9506,9506,521,526
9507,9507,524,525
9508,9508,524,525
9509,9509,520,523
9510,9510,525,525
9511,9511,517,522
9512,9512,516,523
9513,9513,513,518
9514,9514,515,513
9515,9515,521,518
9516,9516,523,510
9517,9517,528,505
9518,9518,530,507
9519,9519,543,504
9520,9520,548,506
9521,9521,554,508
9522,9522,558,512
9523,9523,562,517
9524,9524,564,519
9525,9525,568,521
9526,9526,568,520
9527,9527,567,518
9528,9528,572,518
9529,9529,573,519
9530,9530,572,519
9531,9531,572,519
9532,9532,570,521
9533,9533,569,523
9534,9534,558,525
9535,9535,560,526
9536,9536,558,525
9537,9537,555,523
9538,9538,556,522
9539,9539,555,519
9540,9540,551,515
9541,9541,555,515
9542,9542,556,511
9543,9543,553,508
9544,9544,552,505
9545,9545,554,503
9546,9546,552,501
9547,9547,549,499
9548,9548,546,495
9549,9549,548,493
9550,9550,545,488
9551,9551,540,491
9552,9552,543,481
9553,9553,546,484
9554,9554,545,482
9555,9555,546,482
9556,9556,542,482
9557,9557,540,487
9558,9558,536,487
9559,9559,530,486
9560,9560,524,486
9561,9561,520,485
9562,9562,515,485
9563,9563,511,485
9564,9564,510,486
9565,9565,507,490
9566,9566,507,495
9567,9567,507,498
9568,9568,508,503
9569,9569,502,506
9570,9570,502,508
9571,9571,501,512
9572,9572,499,512
9573,9573,500,509
9574,9574,502,511
9575,9575,502,510
9576,9576,502,508
9577,9577,500,509
9578,9578,498,508
9579,9579,505,513
9580,9580,494,512
9581,9581,495,514
9582,9582,496,515
9583,9583,496,511
9584,9584,495,507
9585,9585,496,505
9586,9586,493,501
9587,9587,492,499
9588,9588,488,495
9589,9589,485,494
9590,9590,483,491
9591,9591,479,489
9592,9592,479,487
9593,9593,478,487
9594,9594,479,486
9595,9595,480,485
9596,9596,483,485
9597,9597,490,486
9598,9598,490,485
9599,9599,492,484
9600,9600,496,486
9601,9601,496,489
9602,9602,498,492
9603,9603,495,495
9604,9604,496,500
9605,9605,495,505
9606,9606,494,505
9607,9607,496,507
9608,9608,500,505
9609,9609,500,505
9610,9610,503,501
9611,9611,509,499
9612,9612,509,495
9613,9613,512,497
9614,9614,512,495
9615,9615,511,501
9616,9616,509,494
9617,9617,505,496
9618,9618,508,498
9619,9619,496,499
9620,9620,491,503
9621,9621,486,504
9622,9622,489,508
9623,9623,486,512
9624,9624,487,517
9625,9625,486,520
9626,9626,489,523
9627,9627,490,523
9628,9628,492,524
9629,9629,490,521
9630,9630,491,518
9631,9631,492,515
9632,9632,491,512
9633,9633,490,510
9634,9634,490,509
9635,9635,491,510
9636,9636,491,510
9637,9637,489,513
9638,9638,486,514
9639,9639,484,516
9640,9640,478,516
9641,9641,476,518
9642,9642,473,515
9643,9643,468,521
9644,9644,467,510
9645,9645,467,511
9646,9646,466,507
9647,9647,467,505
9648,9648,469,507
9649,9649,474,506
9650,9650,474,505
9651,9651,476,510
9652,9652,484,511
9653,9653,485,517
9654,9654,491,512
9655,9655,494,507
9656,9656,498,509
9657,9657,502,502
9658,9658,506,499
9659,9659,509,495
9660,9660,512,491
9661,9661,514,489
9662,9662,515,488
9663,9663,514,487
9664,9664,513,489
9665,9665,515,493
9666,9666,513,496
9667,9667,515,498
9668,9668,511,497
9669,9669,510,498
9670,9670,506,498
9671,9671,500,496
9672,9672,494,497
9673,9673,493,504
9674,9674,492,500
9675,9675,490,502
9676,9676,491,505
9677,9677,493,505
9678,9678,498,508
9679,9679,501,509
9680,9680,507,510
9681,9681,511,507
9682,9682,518,510
9683,9683,522,509
9684,9684,527,508
9685,9685,530,506
9686,9686,532,510
9687,9687,530,503
9688,9688,530,504
9689,9689,526,504
9690,9690,520,504
9691,9691,517,504
9692,9692,514,506
9693,9693,511,508
9694,9694,508,509
9695,9695,510,515
9696,9696,509,516
9697,9697,513,524
9698,9698,517,532
9699,9699,517,533
9700,9700,517,537
9701,9701,520,543
9702,9702,521,547
9703,9703,524,550
9704,9704,527,554
9705,9705,526,555
9706,9706,529,557
9707,9707,529,558
9708,9708,530,557
9709,9709,529,553
9710,9710,528,551
9711,9711,530,543
9712,9712,529,543
9713,9713,528,538
9714,9714,526,535
9715,9715,526,535
9716,9716,524,535
9717,9717,524,536
