A,B
344,623
354,620
360,618
364,612
364,609
361,606
354,604
349,607
347,609
348,614
352,615
360,615
365,614
368,613
377,602
380,595
384,587
388,577
392,568
398,554
404,550
411,527
418,521
426,512
434,506
440,502
444,503
449,508
455,509
464,515
475,520
488,526
499,532
509,538
514,547
516,555
516,563
514,571
525,576
512,579
517,575
525,566
536,551
549,530
561,507
575,485
584,466
594,453
594,440
597,431
600,426
604,423
615,419
618,420
616,419
625,418
632,417
637,414
641,412
644,412
651,414
655,418
658,425
658,431
660,437
661,444
661,446
664,450
660,450
