A,B
1,1023
0,1023
0,1004
6,978
9,954
23,932
46,913
69,892
89,867
106,837
120,805
140,771
148,741
163,719
178,707
190,703
200,707
214,717
225,726
234,735
244,742
255,751
265,749
274,749
282,744
291,735
299,724
307,710
315,699
322,682
328,677
334,667
349,657
346,647
354,636
359,625
365,617
369,602
375,599
380,594
383,591
388,591
394,606
399,607
402,621
401,640
410,659
414,678
418,697
423,708
425,717
426,718
430,711
434,703
435,695
438,687
442,682
444,676
447,671
448,665
452,659
452,654
456,650
457,645
465,638
461,636
462,630
465,626
466,623
468,618
472,614
476,611
479,607
478,603
476,600
478,597
474,595
481,590
479,588
479,585
481,583
481,582
482,580
484,577
487,575
486,572
486,570
488,566
488,565
489,563
490,563
490,558
492,559
493,557
492,555
492,554
493,552
495,550
494,548
496,547
496,547
497,542
502,534
497,515
497,486
498,447
498,406
499,362
498,323
499,290
499,263
500,238
500,215
500,199
501,185
501,174
502,167
503,159
502,151
504,148
498,143
503,144
503,143
503,145
504,144
504,144
504,141
505,137
504,131
504,124
504,114
504,102
506,83
505,66
504,38
504,17
506,1
504,0
505,0
506,0
506,0
505,0
506,0
506,1
506,0
507,0
507,0
508,0
506,0
509,0
507,0
506,0
506,0
