,Unnamed: 0,A,B
5904,5904,490,493
5905,5905,494,499
5906,5906,502,499
5907,5907,510,502
5908,5908,522,508
5909,5909,536,515
5910,5910,543,518
5911,5911,552,523
5912,5912,563,527
5913,5913,568,531
5914,5914,572,532
5915,5915,575,535
5916,5916,574,533
5917,5917,573,534
5918,5918,568,531
5919,5919,566,531
5920,5920,561,527
5921,5921,560,526
5922,5922,557,522
5923,5923,556,523
5924,5924,555,522
5925,5925,555,523
5926,5926,552,528
5927,5927,549,532
5928,5928,544,540
5929,5929,539,545
5930,5930,531,559
5931,5931,525,557
5932,5932,520,563
5933,5933,514,569
5934,5934,521,578
5935,5935,517,585
5936,5936,525,594
5937,5937,533,609
5938,5938,542,607
5939,5939,545,606
5940,5940,549,599
5941,5941,547,595
5942,5942,544,584
5943,5943,539,570
5944,5944,532,554
5945,5945,526,539
5946,5946,518,526
5947,5947,510,513
5948,5948,501,501
5949,5949,498,496
5950,5950,491,491
5951,5951,488,490
5952,5952,480,489
5953,5953,475,492
5954,5954,472,491
5955,5955,464,491
5956,5956,460,492
5957,5957,456,499
5958,5958,456,497
5959,5959,456,490
5960,5960,461,490
5961,5961,464,487
5962,5962,472,485
5963,5963,476,479
5964,5964,482,477
5965,5965,485,470
5966,5966,488,469
5967,5967,492,464
5968,5968,497,463
5969,5969,498,460
5970,5970,510,461
5971,5971,506,454
5972,5972,510,459
5973,5973,513,461
5974,5974,516,462
5975,5975,518,465
5976,5976,522,468
5977,5977,528,463
5978,5978,529,460
5979,5979,535,459
5980,5980,540,457
5981,5981,544,459
5982,5982,547,459
5983,5983,552,464
5984,5984,556,470
5985,5985,559,477
5986,5986,563,483
5987,5987,564,490
5988,5988,569,493
5989,5989,569,493
5990,5990,569,491
5991,5991,562,487
5992,5992,560,484
5993,5993,552,478
5994,5994,546,477
5995,5995,538,479
5996,5996,531,475
5997,5997,525,479
5998,5998,522,487
5999,5999,514,498
6000,6000,518,509
6001,6001,518,522
6002,6002,517,531
6003,6003,518,541
6004,6004,517,544
6005,6005,520,550
6006,6006,517,554
6007,6007,518,559
6008,6008,516,565
6009,6009,513,569
6010,6010,510,573
6011,6011,505,575
6012,6012,504,575
6013,6013,504,573
6014,6014,506,575
6015,6015,508,567
6016,6016,508,567
6017,6017,512,561
6018,6018,518,562
6019,6019,522,560
6020,6020,527,559
6021,6021,534,554
6022,6022,532,555
6023,6023,531,551
6024,6024,530,547
6025,6025,526,542
6026,6026,522,540
6027,6027,518,538
6028,6028,517,533
6029,6029,518,529
6030,6030,516,525
6031,6031,518,521
6032,6032,520,515
6033,6033,519,512
6034,6034,519,508
6035,6035,519,508
6036,6036,518,509
6037,6037,516,511
6038,6038,512,512
6039,6039,508,515
6040,6040,507,514
6041,6041,503,512
6042,6042,501,510
6043,6043,498,505
6044,6044,496,503
6045,6045,494,498
6046,6046,494,494
6047,6047,492,488
6048,6048,495,488
6049,6049,492,481
6050,6050,492,479
6051,6051,492,478
6052,6052,492,478
6053,6053,496,479
6054,6054,499,480
6055,6055,500,483
6056,6056,507,487
6057,6057,512,490
6058,6058,517,493
6059,6059,520,498
6060,6060,519,504
6061,6061,522,511
6062,6062,520,515
6063,6063,519,518
6064,6064,518,520
6065,6065,511,520
6066,6066,506,519
6067,6067,500,517
6068,6068,493,513
6069,6069,488,510
6070,6070,478,507
6071,6071,476,504
6072,6072,474,503
6073,6073,472,499
6074,6074,473,500
6075,6075,473,495
6076,6076,475,496
6077,6077,476,496
6078,6078,480,499
6079,6079,483,503
6080,6080,489,511
6081,6081,494,517
6082,6082,499,522
6083,6083,503,532
6084,6084,506,536
6085,6085,511,537
6086,6086,513,538
6087,6087,512,536
6088,6088,519,532
6089,6089,522,530
6090,6090,519,527
6091,6091,518,526
6092,6092,522,523
6093,6093,513,522
6094,6094,510,519
6095,6095,508,517
6096,6096,506,514
6097,6097,504,511
6098,6098,504,508
6099,6099,502,505
6100,6100,500,502
6101,6101,501,500
6102,6102,503,499
6103,6103,502,500
6104,6104,504,505
6105,6105,500,507
6106,6106,504,508
6107,6107,501,507
6108,6108,502,508
6109,6109,500,508
6110,6110,498,503
6111,6111,496,500
6112,6112,501,498
6113,6113,495,502
6114,6114,492,502
6115,6115,491,507
6116,6116,488,501
6117,6117,487,501
6118,6118,489,497
6119,6119,490,493
6120,6120,485,485
6121,6121,490,485
6122,6122,488,482
6123,6123,488,483
6124,6124,488,483
6125,6125,489,487
6126,6126,492,491
6127,6127,493,492
6128,6128,494,494
6129,6129,494,495
6130,6130,503,498
6131,6131,497,502
6132,6132,497,512
6133,6133,496,512
6134,6134,499,519
6135,6135,494,529
6136,6136,500,530
6137,6137,502,533
6138,6138,503,534
6139,6139,505,533
6140,6140,503,529
6141,6141,504,523
6142,6142,501,516
6143,6143,500,511
6144,6144,513,536
6145,6145,514,542
6146,6146,519,542
6147,6147,510,543
6148,6148,507,542
6149,6149,502,539
6150,6150,498,532
6151,6151,493,524
6152,6152,492,519
6153,6153,492,511
6154,6154,489,506
6155,6155,493,499
6156,6156,498,497
6157,6157,504,495
6158,6158,506,495
6159,6159,515,499
6160,6160,511,497
6161,6161,514,500
6162,6162,518,503
6163,6163,519,507
6164,6164,522,509
6165,6165,528,515
6166,6166,531,518
6167,6167,534,522
6168,6168,534,525
6169,6169,532,527
6170,6170,529,527
6171,6171,525,526
6172,6172,520,521
6173,6173,516,519
6174,6174,512,517
6175,6175,509,515
6176,6176,505,516
6177,6177,507,523
6178,6178,511,523
6179,6179,504,530
6180,6180,506,535
6181,6181,505,539
6182,6182,508,543
6183,6183,507,541
6184,6184,508,539
6185,6185,508,533
6186,6186,508,529
6187,6187,509,526
6188,6188,511,526
6189,6189,514,528
6190,6190,518,533
6191,6191,520,539
6192,6192,524,546
6193,6193,529,551
6194,6194,532,551
6195,6195,533,554
6196,6196,534,550
6197,6197,535,547
6198,6198,531,540
6199,6199,529,536
6200,6200,524,529
6201,6201,521,525
6202,6202,516,518
6203,6203,513,512
6204,6204,512,508
6205,6205,519,501
6206,6206,517,502
6207,6207,518,500
6208,6208,520,502
6209,6209,516,503
6210,6210,515,505
6211,6211,511,506
6212,6212,506,510
6213,6213,502,512
6214,6214,500,514
6215,6215,493,517
6216,6216,493,520
6217,6217,494,522
6218,6218,495,522
6219,6219,496,518
6220,6220,493,512
6221,6221,495,505
6222,6222,490,494
6223,6223,488,485
6224,6224,483,470
6225,6225,483,462
6226,6226,482,453
6227,6227,482,447
6228,6228,492,439
6229,6229,488,438
6230,6230,492,436
6231,6231,494,436
6232,6232,503,439
6233,6233,496,439
6234,6234,498,443
6235,6235,494,446
6236,6236,494,452
6237,6237,491,454
6238,6238,490,457
6239,6239,486,467
6240,6240,482,475
6241,6241,476,478
6242,6242,472,483
6243,6243,466,482
6244,6244,464,483
6245,6245,461,480
6246,6246,459,475
6247,6247,462,470
6248,6248,464,463
6249,6249,471,463
6250,6250,475,461
6251,6251,485,466
6252,6252,490,471
6253,6253,500,481
6254,6254,509,491
6255,6255,516,503
6256,6256,524,513
6257,6257,529,521
6258,6258,532,527
6259,6259,536,531
6260,6260,536,538
6261,6261,533,534
6262,6262,533,536
6263,6263,531,535
6264,6264,532,535
6265,6265,536,534
6266,6266,529,533
6267,6267,528,529
6268,6268,531,529
6269,6269,540,524
6270,6270,531,526
6271,6271,530,524
6272,6272,529,523
6273,6273,526,521
6274,6274,522,519
6275,6275,520,516
6276,6276,516,510
6277,6277,514,508
6278,6278,509,502
6279,6279,500,502
6280,6280,501,499
6281,6281,499,501
6282,6282,493,504
6283,6283,489,506
6284,6284,483,508
6285,6285,482,510
6286,6286,482,512
6287,6287,483,514
6288,6288,483,515
6289,6289,487,519
6290,6290,482,518
6291,6291,481,519
6292,6292,481,519
6293,6293,485,514
6294,6294,481,516
6295,6295,482,510
6296,6296,488,509
6297,6297,484,506
6298,6298,488,505
6299,6299,495,504
6300,6300,497,504
6301,6301,496,507
6302,6302,501,515
6303,6303,492,514
6304,6304,492,516
6305,6305,488,524
6306,6306,488,522
6307,6307,490,525
6308,6308,490,526
6309,6309,493,527
6310,6310,491,527
6311,6311,493,527
6312,6312,490,527
6313,6313,489,525
6314,6314,484,523
6315,6315,486,519
6316,6316,487,519
6317,6317,488,518
6318,6318,492,522
6319,6319,496,522
6320,6320,504,526
6321,6321,510,531
6322,6322,520,537
6323,6323,528,542
6324,6324,537,550
6325,6325,544,555
6326,6326,550,560
6327,6327,552,561
6328,6328,559,562
6329,6329,557,560
6330,6330,556,556
6331,6331,557,550
6332,6332,555,542
6333,6333,552,537
6334,6334,552,529
6335,6335,551,521
6336,6336,545,514
6337,6337,547,508
6338,6338,544,502
6339,6339,540,499
6340,6340,532,491
6341,6341,528,485
6342,6342,522,480
6343,6343,518,475
6344,6344,514,471
6345,6345,507,470
6346,6346,510,471
6347,6347,507,475
6348,6348,509,488
6349,6349,508,486
6350,6350,512,493
6351,6351,516,494
6352,6352,523,497
6353,6353,527,495
6354,6354,536,493
6355,6355,537,492
6356,6356,541,490
6357,6357,544,488
6358,6358,542,486
6359,6359,543,487
6360,6360,540,487
6361,6361,533,487
6362,6362,527,487
6363,6363,514,485
6364,6364,504,483
6365,6365,494,485
6366,6366,486,483
6367,6367,485,482
6368,6368,484,479
6369,6369,486,479
6370,6370,491,476
6371,6371,505,474
6372,6372,508,477
6373,6373,517,479
6374,6374,528,485
6375,6375,537,491
6376,6376,549,497
6377,6377,552,505
6378,6378,566,507
6379,6379,570,510
6380,6380,575,512
6381,6381,577,513
6382,6382,575,514
6383,6383,570,515
6384,6384,563,517
6385,6385,556,522
6386,6386,548,525
6387,6387,538,535
6388,6388,532,532
6389,6389,528,537
6390,6390,521,542
6391,6391,518,543
6392,6392,514,544
6393,6393,511,543
6394,6394,512,541
6395,6395,511,539
6396,6396,509,536
6397,6397,508,532
6398,6398,504,527
6399,6399,503,524
6400,6400,497,523
6401,6401,496,519
6402,6402,496,525
6403,6403,500,527
6404,6404,500,538
6405,6405,504,543
6406,6406,512,545
6407,6407,516,547
6408,6408,523,547
6409,6409,524,546
6410,6410,527,544
6411,6411,524,542
6412,6412,522,539
6413,6413,513,532
6414,6414,510,523
6415,6415,505,526
6416,6416,499,521
6417,6417,495,519
6418,6418,490,516
6419,6419,491,514
6420,6420,492,512
6421,6421,492,512
6422,6422,492,509
6423,6423,492,508
6424,6424,491,511
6425,6425,486,505
6426,6426,482,502
6427,6427,478,500
6428,6428,476,499
6429,6429,475,496
6430,6430,475,493
6431,6431,476,491
6432,6432,478,492
6433,6433,480,492
6434,6434,489,493
6435,6435,488,497
6436,6436,494,505
6437,6437,500,511
6438,6438,506,516
6439,6439,519,521
6440,6440,517,523
6441,6441,521,526
6442,6442,524,527
6443,6443,524,527
6444,6444,521,524
6445,6445,521,526
6446,6446,516,523
6447,6447,514,527
6448,6448,510,525
6449,6449,509,527
6450,6450,507,529
6451,6451,509,534
6452,6452,507,535
6453,6453,509,540
6454,6454,511,542
6455,6455,512,537
6456,6456,512,545
6457,6457,516,537
6458,6458,516,533
6459,6459,518,530
6460,6460,520,524
6461,6461,517,520
6462,6462,516,518
6463,6463,512,516
6464,6464,512,512
6465,6465,510,509
6466,6466,511,509
6467,6467,511,506
6468,6468,516,506
6469,6469,518,506
6470,6470,522,506
6471,6471,523,508
6472,6472,526,510
6473,6473,524,513
6474,6474,520,515
6475,6475,518,520
6476,6476,513,522
6477,6477,515,525
6478,6478,502,523
6479,6479,500,524
6480,6480,496,521
6481,6481,492,519
6482,6482,488,513
6483,6483,486,507
6484,6484,485,499
6485,6485,485,489
6486,6486,484,479
6487,6487,484,474
6488,6488,490,466
6489,6489,485,467
6490,6490,490,467
6491,6491,501,466
6492,6492,497,469
6493,6493,501,470
6494,6494,507,475
