A,B
444,682
468,707
496,716
528,716
560,705
588,689
618,679
639,654
660,643
677,635
690,636
697,642
703,652
698,665
692,675
684,687
673,693
662,695
648,693
632,691
613,679
599,669
589,659
580,648
574,633
572,614
573,590
575,568
581,548
588,534
592,528
590,529
584,531
572,535
560,535
548,530
539,522
530,512
524,497
517,481
509,462
500,442
492,430
489,423
486,415
491,407
495,399
498,384
496,370
493,353
483,346
473,339
460,336
448,334
440,331
432,332
428,329
434,326
431,313
431,293
431,269
432,242
434,214
438,195
445,186
449,190
457,201
464,219
470,237
474,255
477,278
478,297
473,316
468,337
461,358
454,379
446,399
450,423
460,450
476,479
491,514
509,564
531,593
543,626
546,655
548,677
552,689
553,698
557,703
564,713
571,725
580,739
589,754
593,773
596,780
595,795
592,800
581,798
565,794
550,791
532,794
517,802
508,812
500,820
496,819
494,806
493,778
492,742
496,701
495,658
495,617
490,575
484,534
478,498
472,467
470,444
469,435
467,431
466,444
462,465
459,494
451,527
446,559
446,587
449,603
454,607
465,594
478,570
496,525
515,479
536,431
558,388
580,349
597,319
624,299
658,294
709,303
778,339
858,409
942,515
1016,649
1023,790
1023,919
1023,1013
1023,1023
974,1023
895,1013
809,927
725,820
648,701
579,580
521,467
472,371
442,289
409,232
385,191
372,163
353,150
344,143
339,137
339,130
339,117
340,107
344,99
346,102
347,117
348,146
349,187
350,249
358,298
350,359
347,425
346,487
341,546
336,591
333,624
332,650
334,669
337,685
340,695
344,698
346,690
344,669
341,640
334,600
326,558
317,514
318,474
299,437
290,407
278,390
264,383
246,393
227,417
211,443
197,463
189,469
190,450
199,414
213,365
232,322
259,287
292,276
314,277
347,293
379,305
409,307
434,295
457,270
477,237
499,211
513,188
535,183
552,186
570,202
584,217
594,229
600,239
605,250
607,267
611,292
616,325
621,367
628,407
630,444
634,467
634,487
636,499
643,515
637,517
638,525
636,533
634,539
633,538
628,538
626,532
626,526
626,521
628,516
631,512
636,508
624,507
619,507
609,508
598,513
585,524
573,534
563,557
561,565
558,570
561,584
568,601
575,617
580,631
582,635
584,639
581,635
576,634
570,634
572,638
574,641
578,651
587,659
602,659
618,655
635,643
651,627
662,604
668,579
667,556
659,540
649,532
638,538
625,555
614,581
607,612
600,641
592,668
578,687
569,693
554,695
547,688
545,676
552,669
559,646
568,639
578,621
581,604
577,587
569,563
554,535
536,507
524,490
505,481
490,493
483,522
478,562
479,603
480,639
484,655
488,658
492,647
502,626
501,603
505,580
504,563
501,554
492,550
493,549
476,551
472,551
468,550
467,543
468,538
468,529
471,527
474,513
476,504
479,495
483,486
487,474
493,461
492,453
489,447
486,449
478,459
469,475
464,494
461,513
464,531
470,543
480,554
494,559
508,562
519,562
529,558
532,549
528,535
518,518
506,500
495,493
482,486
480,493
482,512
493,539
511,567
518,603
530,634
540,659
556,679
553,694
557,707
560,709
561,708
562,704
561,696
559,686
552,675
540,663
521,654
501,645
475,640
452,632
430,635
412,637
402,640
398,644
399,647
405,647
412,636
422,620
432,599
445,566
456,534
469,500
479,467
489,440
496,415
497,399
496,387
494,382
494,385
495,393
499,405
511,417
518,434
531,446
543,453
553,457
560,457
566,457
567,447
569,432
572,418
568,402
567,387
563,380
558,361
556,356
548,351
545,351
545,357
535,353
527,358
521,367
516,381
515,402
521,429
525,461
532,493
536,523
540,541
543,549
546,546
547,541
560,519
570,502
579,486
585,472
588,458
586,443
578,431
568,421
554,422
547,446
539,482
534,527
527,574
524,611
512,638
500,643
488,635
477,611
469,580
468,547
470,523
489,508
495,493
504,495
510,505
508,515
504,527
496,537
484,538
484,538
484,531
486,517
491,503
498,482
504,462
510,442
515,421
518,402
519,381
521,363
513,342
508,319
500,296
494,275
496,258
481,255
474,262
465,279
456,301
445,326
434,349
429,370
424,384
421,391
424,399
420,399
422,400
424,398
426,394
427,387
432,382
437,373
442,367
456,365
470,369
485,372
496,378
500,384
499,392
495,400
487,413
478,429
470,445
460,466
448,486
437,506
426,522
416,535
409,547
408,558
405,570
408,582
406,597
408,612
407,631
408,651
408,674
414,695
422,719
428,741
436,763
444,780
453,791
460,803
