A,B
566,473
570,475
571,478
567,479
561,479
554,480
549,482
544,483
541,485
539,486
540,486
538,487
545,495
540,498
541,510
545,532
549,557
553,589
556,616
559,645
561,671
564,695
564,715
565,737
581,753
584,772
593,787
600,804
609,816
618,831
628,837
635,847
648,859
660,871
672,887
680,900
688,914
692,927
695,939
696,951
696,962
692,974
696,981
691,987
680,989
673,989
661,983
651,980
642,978
639,973
638,973
640,970
644,966
650,962
661,955
662,951
670,948
680,943
686,941
694,939
694,940
697,939
690,940
685,940
678,942
670,931
661,922
646,906
638,886
628,861
616,836
606,815
596,798
588,787
581,783
577,791
572,796
577,807
584,823
592,834
602,851
613,863
624,869
632,873
645,863
642,858
648,847
651,830
652,815
653,799
654,788
645,782
647,775
639,773
630,775
628,770
620,770
617,767
617,763
625,757
627,762
643,752
657,751
673,751
688,751
700,755
713,751
722,749
730,740
738,732
744,724
750,719
751,722
752,730
749,742
745,757
738,773
729,789
719,804
709,813
697,821
685,825
676,826
671,826
671,826
671,826
676,828
680,833
680,844
680,859
670,879
657,903
639,923
620,936
601,942
585,935
578,926
576,907
586,892
605,877
630,866
660,853
692,842
722,828
753,818
778,807
802,796
824,783
842,776
858,758
871,756
882,749
886,740
888,731
885,723
874,715
865,708
856,702
848,694
842,689
842,679
848,676
857,670
868,664
884,659
901,654
916,648
936,644
950,640
961,636
966,633
966,627
959,620
945,613
925,601
896,582
862,554
824,516
782,475
737,429
690,379
644,329
594,290
552,249
505,212
460,179
420,148
382,122
349,95
322,74
301,51
286,33
276,14
270,1
269,0
270,0
274,0
278,0
283,0
288,0
292,0
293,0
294,0
295,0
294,0
294,0
294,0
293,0
294,0
296,0
296,0
296,0
294,0
293,0
289,0
281,0
279,1
264,0
248,0
237,0
222,0
202,1
185,0
166,0
148,0
134,0
119,0
106,0
94,0
82,5
76,0
68,0
74,0
79,0
89,2
98,5
104,16
113,26
116,36
122,39
125,40
129,36
134,44
142,38
147,43
160,53
173,65
179,84
182,105
180,131
177,158
170,192
162,223
157,255
153,282
157,304
156,315
166,320
173,314
186,298
203,275
218,242
234,209
250,183
264,169
271,172
274,184
272,198
267,210
257,222
248,231
236,242
226,253
216,262
207,270
201,280
199,288
199,296
202,302
206,311
210,318
212,324
217,331
219,337
225,339
220,350
224,355
228,361
236,366
247,370
256,378
270,381
276,386
283,390
291,394
300,399
306,403
315,404
322,411
326,414
335,418
342,423
