,Unnamed: 0,A,B
14605,14605,518,555
14606,14606,520,547
14607,14607,515,543
14608,14608,513,536
14609,14609,510,527
14610,14610,508,519
14611,14611,499,513
14612,14612,497,511
14613,14613,491,511
14614,14614,485,515
14615,14615,478,516
14616,14616,472,524
14617,14617,466,527
14618,14618,462,535
14619,14619,456,528
14620,14620,454,537
14621,14621,450,539
14622,14622,457,543
14623,14623,449,542
14624,14624,449,542
14625,14625,452,545
14626,14626,460,546
14627,14627,457,548
14628,14628,458,546
14629,14629,462,545
14630,14630,468,542
14631,14631,466,540
14632,14632,470,535
14633,14633,476,533
14634,14634,481,527
14635,14635,490,524
14636,14636,497,519
14637,14637,506,515
14638,14638,513,513
14639,14639,520,510
14640,14640,525,511
14641,14641,527,511
14642,14642,532,514
14643,14643,533,516
14644,14644,536,523
14645,14645,533,521
14646,14646,532,523
14647,14647,532,520
14648,14648,532,526
14649,14649,532,515
14650,14650,533,515
14651,14651,534,516
14652,14652,533,519
14653,14653,532,521
14654,14654,528,522
14655,14655,527,524
14656,14656,524,521
14657,14657,524,519
14658,14658,528,513
14659,14659,529,513
14660,14660,530,511
14661,14661,535,509
14662,14662,536,507
14663,14663,536,509
14664,14664,536,510
14665,14665,536,512
14666,14666,537,519
14667,14667,526,515
14668,14668,526,518
14669,14669,528,515
14670,14670,531,514
14671,14671,532,509
14672,14672,537,502
14673,14673,543,497
14674,14674,548,501
14675,14675,551,486
14676,14676,554,484
14677,14677,554,484
14678,14678,556,483
14679,14679,553,483
14680,14680,549,484
14681,14681,548,487
14682,14682,544,487
14683,14683,545,490
14684,14684,543,489
14685,14685,544,490
14686,14686,541,488
14687,14687,542,484
14688,14688,536,478
14689,14689,534,474
14690,14690,533,471
14691,14691,529,470
14692,14692,525,468
14693,14693,521,472
14694,14694,518,474
14695,14695,515,483
14696,14696,514,487
14697,14697,511,494
14698,14698,511,500
14699,14699,504,506
14700,14700,504,512
14701,14701,497,514
14702,14702,493,515
14703,14703,488,510
14704,14704,484,515
14705,14705,478,515
14706,14706,473,513
14707,14707,470,512
14708,14708,467,509
14709,14709,461,507
14710,14710,458,503
14711,14711,454,505
14712,14712,451,503
14713,14713,449,505
14714,14714,447,506
14715,14715,451,509
14716,14716,454,514
14717,14717,460,516
14718,14718,466,518
14719,14719,472,518
14720,14720,478,515
14721,14721,480,514
14722,14722,484,511
14723,14723,491,513
14724,14724,487,509
14725,14725,486,508
14726,14726,485,511
14727,14727,484,506
14728,14728,484,514
14729,14729,485,514
14730,14730,486,514
14731,14731,486,512
14732,14732,488,510
14733,14733,492,507
14734,14734,497,508
14735,14735,509,506
14736,14736,506,506
14737,14737,509,509
14738,14738,511,509
14739,14739,510,510
14740,14740,509,512
14741,14741,508,518
14742,14742,505,522
14743,14743,504,529
14744,14744,500,534
14745,14745,499,539
14746,14746,499,543
14747,14747,501,541
14748,14748,504,542
14749,14749,508,539
14750,14750,514,534
14751,14751,520,528
14752,14752,528,523
14753,14753,533,516
14754,14754,541,514
14755,14755,546,509
14756,14756,552,507
14757,14757,556,507
14758,14758,564,506
14759,14759,571,508
14760,14760,570,511
14761,14761,585,515
14762,14762,590,518
14763,14763,594,527
14764,14764,598,527
14765,14765,595,534
14766,14766,594,535
14767,14767,592,536
14768,14768,584,535
14769,14769,581,535
14770,14770,572,534
14771,14771,567,535
14772,14772,559,534
14773,14773,553,535
14774,14774,542,534
14775,14775,534,537
14776,14776,528,532
14777,14777,517,535
14778,14778,517,533
14779,14779,508,534
14780,14780,505,535
14781,14781,500,532
14782,14782,501,531
14783,14783,496,530
14784,14784,498,528
14785,14785,499,527
14786,14786,500,527
14787,14787,501,527
14788,14788,504,528
14789,14789,508,529
14790,14790,509,527
14791,14791,511,527
14792,14792,514,526
14793,14793,518,521
14794,14794,520,525
14795,14795,520,524
14796,14796,519,520
14797,14797,520,518
14798,14798,519,521
14799,14799,514,512
14800,14800,511,503
14801,14801,508,498
14802,14802,505,495
14803,14803,504,494
14804,14804,500,490
14805,14805,500,487
14806,14806,499,489
14807,14807,499,488
14808,14808,500,485
14809,14809,495,490
14810,14810,502,488
14811,14811,504,487
14812,14812,506,490
14813,14813,503,492
14814,14814,511,490
14815,14815,514,491
14816,14816,519,495
14817,14817,524,495
14818,14818,533,497
14819,14819,528,500
14820,14820,528,501
14821,14821,524,502
14822,14822,521,502
14823,14823,517,503
14824,14824,515,506
14825,14825,512,508
14826,14826,510,510
14827,14827,511,514
14828,14828,510,517
14829,14829,509,522
14830,14830,513,519
14831,14831,510,524
14832,14832,510,524
14833,14833,510,522
14834,14834,510,524
14835,14835,510,522
14836,14836,520,525
14837,14837,513,525
14838,14838,517,527
14839,14839,518,526
14840,14840,522,525
14841,14841,525,522
14842,14842,529,517
14843,14843,530,509
14844,14844,528,503
14845,14845,536,495
14846,14846,537,490
14847,14847,534,486
14848,14848,530,484
14849,14849,528,483
14850,14850,522,483
14851,14851,521,485
14852,14852,516,483
14853,14853,515,486
14854,14854,511,487
14855,14855,519,490
14856,14856,512,493
14857,14857,512,499
14858,14858,513,503
14859,14859,516,505
14860,14860,514,512
14861,14861,512,513
14862,14862,506,514
14863,14863,500,513
14864,14864,493,510
14865,14865,482,504
14866,14866,476,498
14867,14867,470,494
14868,14868,465,491
14869,14869,461,486
14870,14870,461,486
14871,14871,463,486
14872,14872,465,485
14873,14873,464,488
14874,14874,465,488
14875,14875,469,486
14876,14876,459,491
14877,14877,469,487
14878,14878,466,478
14879,14879,471,482
14880,14880,470,478
14881,14881,472,478
14882,14882,473,475
14883,14883,470,477
14884,14884,478,473
14885,14885,480,471
14886,14886,482,470
14887,14887,481,468
14888,14888,480,479
14889,14889,476,468
14890,14890,471,468
14891,14891,468,468
14892,14892,462,471
14893,14893,457,471
14894,14894,454,473
14895,14895,450,474
14896,14896,449,476
14897,14897,450,475
14898,14898,455,479
14899,14899,458,479
14900,14900,466,479
14901,14901,475,479
14902,14902,484,481
14903,14903,494,484
14904,14904,496,487
14905,14905,506,491
14906,14906,509,496
14907,14907,511,506
14908,14908,513,509
14909,14909,519,514
14910,14910,513,518
14911,14911,516,520
14912,14912,516,519
14913,14913,521,517
14914,14914,518,517
14915,14915,515,518
14916,14916,518,517
14917,14917,516,515
14918,14918,518,519
14919,14919,517,520
14920,14920,520,526
14921,14921,520,530
14922,14922,519,538
14923,14923,516,542
14924,14924,516,545
14925,14925,513,543
14926,14926,512,553
14927,14927,513,543
14928,14928,514,541
14929,14929,515,540
14930,14930,516,537
14931,14931,514,536
14932,14932,514,532
14933,14933,512,530
14934,14934,508,525
14935,14935,505,524
14936,14936,496,521
14937,14937,498,522
14938,14938,496,522
14939,14939,500,527
14940,14940,502,526
14941,14941,507,530
14942,14942,511,532
14943,14943,517,535
14944,14944,520,536
14945,14945,525,537
14946,14946,531,538
14947,14947,533,538
14948,14948,537,542
14949,14949,541,543
14950,14950,544,546
14951,14951,543,545
14952,14952,542,546
14953,14953,538,541
14954,14954,530,532
14955,14955,521,527
14956,14956,513,518
14957,14957,513,505
14958,14958,502,500
14959,14959,498,492
14960,14960,497,487
14961,14961,495,485
14962,14962,498,483
14963,14963,498,485
14964,14964,498,485
14965,14965,504,489
14966,14966,502,485
14967,14967,504,497
14968,14968,502,499
14969,14969,501,503
14970,14970,500,503
14971,14971,497,506
14972,14972,497,504
14973,14973,495,504
14974,14974,496,504
14975,14975,498,500
14976,14976,500,501
14977,14977,500,498
14978,14978,507,495
14979,14979,506,491
14980,14980,506,490
14981,14981,504,486
14982,14982,500,484
14983,14983,492,482
14984,14984,493,481
14985,14985,491,479
14986,14986,489,482
14987,14987,490,483
14988,14988,492,487
14989,14989,493,489
14990,14990,493,491
14991,14991,497,493
14992,14992,498,496
14993,14993,500,494
14994,14994,500,493
14995,14995,500,495
14996,14996,504,497
14997,14997,509,502
14998,14998,510,507
14999,14999,513,510
15000,15000,518,515
15001,15001,524,519
15002,15002,528,524
15003,15003,533,527
15004,15004,538,530
15005,15005,539,529
15006,15006,546,533
15007,15007,547,531
15008,15008,553,532
15009,15009,552,541
15010,15010,560,535
15011,15011,560,535
15012,15012,562,535
15013,15013,562,534
15014,15014,566,535
15015,15015,560,529
15016,15016,556,526
15017,15017,557,527
15018,15018,557,517
15019,15019,553,513
15020,15020,550,508
15021,15021,549,505
15022,15022,545,493
15023,15023,547,495
15024,15024,538,492
15025,15025,531,487
15026,15026,521,488
15027,15027,512,490
15028,15028,500,492
15029,15029,490,495
15030,15030,480,502
15031,15031,472,503
15032,15032,465,510
15033,15033,458,511
15034,15034,458,512
15035,15035,456,519
15036,15036,458,525
15037,15037,458,527
15038,15038,457,533
15039,15039,463,533
15040,15040,467,532
15041,15041,470,527
15042,15042,471,525
15043,15043,479,523
15044,15044,484,518
15045,15045,489,512
15046,15046,494,508
15047,15047,500,505
15048,15048,499,502
15049,15049,500,499
15050,15050,500,494
15051,15051,504,495
15052,15052,506,492
15053,15053,512,493
15054,15054,518,494
15055,15055,525,495
15056,15056,531,499
15057,15057,535,504
15058,15058,533,509
15059,15059,533,513
15060,15060,532,519
15061,15061,524,523
15062,15062,521,524
15063,15063,516,529
15064,15064,516,533
15065,15065,516,534
15066,15066,520,537
15067,15067,524,537
15068,15068,523,531
15069,15069,524,538
15070,15070,524,539
15071,15071,522,539
15072,15072,515,539
15073,15073,516,540
15074,15074,515,540
15075,15075,516,543
15076,15076,516,543
15077,15077,521,550
15078,15078,525,551
15079,15079,528,555
15080,15080,529,556
15081,15081,528,559
15082,15082,533,555
15083,15083,534,554
15084,15084,533,551
15085,15085,531,549
15086,15086,531,545
15087,15087,528,542
15088,15088,527,538
15089,15089,523,535
15090,15090,521,532
15091,15091,516,530
15092,15092,516,529
15093,15093,510,529
15094,15094,510,530
15095,15095,506,532
15096,15096,513,536
15097,15097,518,538
15098,15098,526,539
15099,15099,534,539
15100,15100,542,539
15101,15101,548,539
15102,15102,553,537
15103,15103,556,536
15104,15104,560,535
15105,15105,564,532
15106,15106,560,527
15107,15107,557,523
15108,15108,553,516
15109,15109,545,510
15110,15110,535,503
15111,15111,527,494
15112,15112,513,493
15113,15113,511,481
15114,15114,506,479
15115,15115,502,473
15116,15116,501,470
15117,15117,498,467
15118,15118,498,467
15119,15119,494,463
15120,15120,493,471
15121,15121,492,478
15122,15122,492,485
15123,15123,493,492
15124,15124,496,498
15125,15125,501,504
15126,15126,504,505
15127,15127,510,506
15128,15128,514,502
15129,15129,523,500
15130,15130,525,495
15131,15131,526,491
15132,15132,527,487
15133,15133,532,487
15134,15134,529,484
15135,15135,527,487
15136,15136,525,482
15137,15137,520,489
15138,15138,516,489
15139,15139,511,492
15140,15140,505,494
15141,15141,500,498
15142,15142,499,499
15143,15143,496,503
15144,15144,496,508
15145,15145,494,514
15146,15146,493,520
15147,15147,493,523
15148,15148,492,527
15149,15149,492,526
15150,15150,492,527
15151,15151,493,526
15152,15152,496,525
15153,15153,497,523
15154,15154,500,522
15155,15155,505,519
15156,15156,507,519
15157,15157,508,517
15158,15158,509,515
15159,15159,508,512
15160,15160,503,511
15161,15161,497,508
15162,15162,488,504
15163,15163,480,502
15164,15164,469,498
15165,15165,462,494
15166,15166,452,490
15167,15167,446,487
15168,15168,447,482
15169,15169,448,483
15170,15170,436,486
15171,15171,438,485
15172,15172,442,488
15173,15173,446,492
15174,15174,453,487
15175,15175,456,494
15176,15176,465,499
15177,15177,468,502
15178,15178,472,505
15179,15179,472,505
15180,15180,475,506
15181,15181,479,505
15182,15182,480,503
15183,15183,485,502
15184,15184,491,499
15185,15185,496,501
15186,15186,500,500
15187,15187,504,501
15188,15188,506,502
15189,15189,511,503
15190,15190,513,506
15191,15191,517,506
15192,15192,515,508
15193,15193,517,511
15194,15194,519,514
15195,15195,520,516
15196,15196,524,520
15197,15197,528,525
15198,15198,532,531
15199,15199,536,536
15200,15200,549,540
15201,15201,543,543
15202,15202,546,549
15203,15203,539,551
15204,15204,543,548
15205,15205,540,542
15206,15206,539,537
15207,15207,536,529
15208,15208,532,525
15209,15209,526,516
15210,15210,523,514
15211,15211,517,512
15212,15212,512,510
15213,15213,506,508
15214,15214,501,507
15215,15215,498,509
15216,15216,498,499
15217,15217,498,510
15218,15218,497,509
15219,15219,509,512
15220,15220,500,507
15221,15221,504,506
15222,15222,501,502
15223,15223,503,501
15224,15224,503,499
15225,15225,502,498
15226,15226,506,498
15227,15227,496,495
15228,15228,496,497
15229,15229,492,493
15230,15230,489,492
15231,15231,479,491
15232,15232,480,492
15233,15233,474,492
15234,15234,472,495
15235,15235,469,495
15236,15236,467,501
15237,15237,467,502
15238,15238,466,502
15239,15239,470,498
