,Unnamed: 0,A,B
4257,4257,526,482
4258,4258,523,485
4259,4259,517,482
4260,4260,512,487
4261,4261,507,483
4262,4262,503,486
4263,4263,497,483
4264,4264,495,487
4265,4265,489,489
4266,4266,488,495
4267,4267,486,499
4268,4268,483,503
4269,4269,489,511
4270,4270,484,507
4271,4271,483,507
4272,4272,481,506
4273,4273,479,504
4274,4274,468,505
4275,4275,470,501
4276,4276,466,499
4277,4277,463,499
4278,4278,461,498
4279,4279,462,503
4280,4280,461,505
4281,4281,460,510
4282,4282,463,513
4283,4283,463,519
4284,4284,464,526
4285,4285,462,533
4286,4286,458,543
4287,4287,460,551
4288,4288,462,558
4289,4289,464,566
4290,4290,469,574
4291,4291,471,574
4292,4292,476,575
4293,4293,479,573
4294,4294,484,568
4295,4295,488,560
4296,4296,490,555
4297,4297,492,547
4298,4298,493,539
4299,4299,496,532
4300,4300,493,525
4301,4301,492,521
4302,4302,489,515
4303,4303,483,517
4304,4304,484,509
4305,4305,487,507
4306,4306,490,504
4307,4307,496,502
4308,4308,499,499
4309,4309,503,499
4310,4310,504,504
4311,4311,508,506
4312,4312,506,512
4313,4313,509,515
4314,4314,504,523
4315,4315,499,527
4316,4316,500,534
4317,4317,498,538
4318,4318,502,541
4319,4319,501,543
4320,4320,507,547
4321,4321,508,547
4322,4322,512,551
4323,4323,515,554
4324,4324,519,556
4325,4325,528,557
4326,4326,524,559
4327,4327,528,559
4328,4328,528,559
4329,4329,531,559
4330,4330,531,556
4331,4331,532,559
4332,4332,531,559
4333,4333,532,559
4334,4334,529,559
4335,4335,528,559
4336,4336,528,558
4337,4337,525,557
4338,4338,525,554
4339,4339,524,551
4340,4340,522,549
4341,4341,521,546
4342,4342,522,547
4343,4343,521,543
4344,4344,522,542
4345,4345,522,538
4346,4346,522,537
4347,4347,520,535
4348,4348,522,537
4349,4349,523,532
4350,4350,524,539
4351,4351,521,539
4352,4352,520,537
4353,4353,520,535
4354,4354,522,534
4355,4355,516,529
4356,4356,512,526
4357,4357,510,527
4358,4358,510,531
4359,4359,510,538
4360,4360,507,542
4361,4361,511,549
4362,4362,511,553
4363,4363,512,559
4364,4364,512,562
4365,4365,514,560
4366,4366,522,565
4367,4367,520,558
4368,4368,518,553
4369,4369,521,555
4370,4370,525,543
4371,4371,529,538
4372,4372,537,531
4373,4373,534,527
4374,4374,539,523
4375,4375,541,519
4376,4376,544,512
4377,4377,543,503
4378,4378,544,498
4379,4379,547,490
4380,4380,549,482
4381,4381,552,476
4382,4382,552,471
4383,4383,554,465
4384,4384,555,465
4385,4385,557,460
4386,4386,552,463
4387,4387,552,465
4388,4388,553,461
4389,4389,550,463
4390,4390,548,455
4391,4391,544,462
4392,4392,546,460
4393,4393,542,458
4394,4394,537,454
4395,4395,529,456
4396,4396,523,455
4397,4397,517,457
4398,4398,510,467
4399,4399,506,459
4400,4400,506,461
4401,4401,504,461
4402,4402,510,459
4403,4403,508,458
4404,4404,511,463
4405,4405,513,455
4406,4406,516,455
4407,4407,517,457
4408,4408,522,458
4409,4409,514,466
4410,4410,510,469
4411,4411,509,473
4412,4412,504,479
4413,4413,504,478
4414,4414,500,476
4415,4415,500,467
4416,4416,498,470
4417,4417,500,467
4418,4418,502,466
4419,4419,506,466
4420,4420,508,467
4421,4421,513,470
4422,4422,517,474
4423,4423,522,478
4424,4424,526,483
4425,4425,528,487
4426,4426,532,494
4427,4427,535,498
4428,4428,537,507
4429,4429,538,509
4430,4430,540,523
4431,4431,540,531
4432,4432,540,540
4433,4433,536,547
4434,4434,541,553
4435,4435,529,556
4436,4436,527,557
4437,4437,526,559
4438,4438,521,557
4439,4439,520,558
4440,4440,520,558
4441,4441,520,560
4442,4442,516,559
4443,4443,521,564
4444,4444,520,565
4445,4445,524,569
4446,4446,524,568
4447,4447,528,570
4448,4448,530,567
4449,4449,536,564
4450,4450,538,563
4451,4451,544,555
4452,4452,556,548
4453,4453,550,546
4454,4454,551,541
4455,4455,549,535
4456,4456,555,532
4457,4457,542,527
4458,4458,537,525
4459,4459,528,520
4460,4460,519,517
4461,4461,508,512
4462,4462,495,511
4463,4463,487,513
4464,4464,482,502
4465,4465,475,499
4466,4466,471,499
4467,4467,469,491
4468,4468,468,488
4469,4469,469,487
4470,4470,472,487
4471,4471,474,489
4472,4472,476,488
4473,4473,480,492
4474,4474,483,491
4475,4475,486,490
4476,4476,488,493
4477,4477,489,497
4478,4478,490,500
4479,4479,491,502
4480,4480,491,507
4481,4481,492,510
4482,4482,493,516
4483,4483,495,519
4484,4484,497,523
4485,4485,497,523
4486,4486,500,525
4487,4487,502,521
4488,4488,503,518
4489,4489,505,510
4490,4490,504,509
4491,4491,502,509
4492,4492,504,506
4493,4493,506,502
4494,4494,504,502
4495,4495,504,506
4496,4496,504,509
